ID#,Report Date/Time,MSG#,Discoverer(s),CAMS,Group,Images of...
ID#,Report Date/Time MSG#,Discoverer(s),CAMS,Group,Images of...
0121,Jan06 21 05:06,2418,T.Prestgard,HI-1,Kreutz,Jan04 17
0122,Jan06 21 05:06,2418,T.Prestgard,HI-1,Kreutz,Jan04 17
0123,Jan06 21 05:06,2418,T.Prestgard,HI-1,Kreutz,Jan04 17 
0124,Jan07 21 14:48,2424,T.Prestgard,HI-1,Kreutz,Jan05 17 
0125,Jan14 20 08:29,2688,T.Prestgard,HI-1,Kreutz,Jan07 20
0126,Jan14 20 08:29,2688,T.Prestgard,HI-1,Kreutz,Jan08 20
0127,Jan14 20 08:29,2688,T.Prestgard,HI-1,Kreutz,Jan08 20
0128,Jan14 20 09:10,2690,T.Prestgard,HI-1,Kreutz,Jan08 20
0129,Dec09 21 12:02,2806,K.Battams,,HI-1,Kreutz,Oct04 21
0130,Dec09 21 12:02,2806,K.Battams,,HI-1,Kreutz,Oct07-08 21
0131,Dec09 21 12:02,2806,K.Battams,,HI-1,Kreutz,Oct25 21
