PERIHELION DATE  , COMET DESIGNATION  , COMET DISCOVERER  ,  TELESCOPE   , PERIHELION DISTANCE  , COMET GROUP 
2008-02-17.76,C/2008 D01 (STEREO) STEREO-001,A.Watson,HI1A,0.0052,Kreutz
2008-02-20.51,C/2008 D02 (STEREO) STEREO-002,A.Watson,HI1A,0.0051,Kreutz
2008-02-22.398,C/2008 D03 (STEREO) STEREO-003,A.Watson,HI1A COR2A  COR2B,0.00528,Kreutz
2008-02-21.79,C/2008 D04 (STEREO) STEREO-004,R.Kracht,HI1A,0.0048,Kreutz
2008-03-06.81,C/2008 E05 (STEREO) STEREO-005,A.Watson,HI1A,0.0051,Kreutz
2008-03-09.03,C/2008 E10 (STEREO) STEREO-017,A.Watson,HI1A,0.0053,Kreutz
2008-03-16.22,C/2008 E06 (STEREO) STEREO-006,R.Kracht,HI1A,0.0051,Kreutz
2008-11-19.97,C/2008 W01 (STEREO) STEREO-007,A.Watson,HI1B,0.0051,Kreutz
2009-01-05.46,C/2009 A08 (STEREO) STEREO-008,A.Watson,HI1A,0.0055,Kreutz
2009-01-03.31,C/2009 A06(STEREO) STEREO-009,A.Watson,HI1A,0.0052,Kreutz
2009-01-01.74,C/2008 Y16 (STEREO) STEREO-010,A.Watson,HI1A,0.0051,Kreutz
2009-01-11.60,C/2009 A09 (STEREO) STEREO-018,R.Matson,HI1A,0.0047,Kreutz
2009-01-11.66,C/2009 A10 (STEREO) STEREO-019,A.Watson,HI1A,0.0050,Kreutz
2009-01-11.78,C/2009 A1 (STEREO) STEREO-011,A.Watson,HI1A HI1B,0.1271,Non-Group
2009-01-20.77,C/2009 B06 (STEREO) STEREO-012,R.Matson,HI1A,0.0056,Kreutz
2009-01-30.77,C/2009 B07 (STEREO) STEREO-013,R.Matson,HI1A,0.0049,Kreutz
2009-02-11.07,C/2009 C01 (STEREO) STEREO-014,R.Kracht,HI1A,0.0052,Kreutz
2009-02-13.18,C/2009 C02 (STEREO) STEREO-015,K.Battams,HI1A,0.0051,Kreutz
2009-01-01.99,C/2008 Y17 (STEREO) STEREO-016,K.Battams,HI1A,0.0053,Kreutz
2009-04-12.635,C/2009 G01 (STEREO) STEREO-020,J.Ruan,HI1B,1.13701,Non-Group
2009-07-19.450,C/2009 O01 (STEREO) STEREO-021,M.Kusiak,COR2A COR2B,0.00526,Kreutz
2009-,C/2009 (STEREO) STEREO-022,A.Watson,HI1B, ,Kreutz
2009-,C/2009 (STEREO) STEREO-023,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-024,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-025,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-026,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-027,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-028,J.Ruan,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-029,J.Ruan and A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-030,J.Ruan and A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-031,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-032,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-033,J.Ruan,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-034,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-035,Z.Xu,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-036,A.Watson,HI1A, ,Kreutz
2009-,C/2009 (STEREO) STEREO-037,A.Watson,HI1A, ,Kreutz
